,district,rooms,size,level,max_levels,price,kocha_grouped
0,Юнусабадский,3,57.0,4,4,52000.0,Юнусабад 8-й квартал
1,Яккасарайский,2,52.0,4,5,56000.0,other_high
2,Чиланзарский,2,42.0,4,4,37000.0,Чиланзар 2-й квартал
3,Чиланзарский,3,65.0,1,4,49500.0,Чиланзар 9-й квартал
4,Чиланзарский,3,70.0,3,5,55000.0,площадь Актепа
5,Чиланзарский,1,28.0,1,4,25500.0,Чиланзар 6-й квартал
6,Чиланзарский,1,30.0,2,4,21200.0,Чиланзар-16
7,Яккасарайский,2,32.0,5,5,20000.0,other_very_low
8,Учтепинский,2,51.0,3,4,26200.0,other_very_low
9,Чиланзарский,1,30.0,1,4,22200.0,Чиланзар-8
10,Учтепинский,2,30.0,2,5,24200.0,Чиланзар-14
11,Чиланзарский,3,67.0,2,5,30200.0,Чиланзар-20
12,Чиланзарский,1,30.0,2,4,21200.0,Чиланзар-17
13,Чиланзарский,1,30.0,2,4,21200.0,Чиланзар-16
14,Чиланзарский,1,30.0,2,4,21200.0,Чиланзар-19
15,Чиланзарский,1,35.0,1,5,22500.0,Чиланзар-19
16,Чиланзарский,1,43.0,4,4,22500.0,other_very_low
17,Чиланзарский,2,51.0,2,4,21200.0,Чиланзар-7
18,Мирзо-Улугбекский,3,65.0,1,4,32500.0,Феруза
19,Чиланзарский,2,51.0,2,4,22200.0,Чиланзар-17
20,Чиланзарский,2,51.0,2,4,24200.0,Чиланзар-9
21,Яккасарайский,4,90.0,5,5,45000.0,Кушбеги
22,Чиланзарский,4,80.0,3,4,56000.0,other_high
23,Яшнободский,2,70.0,5,5,47000.0,Садыка Азимова (Жуковского) 
24,Мирзо-Улугбекский,3,69.0,1,4,49900.0,ТТЗ-4
25,Мирабадский,3,80.0,2,4,76000.0,Афросиёб
26,Учтепинский,3,96.0,3,4,65000.0,Чиланзар 13-й квартал махалля Кухна-Чупонота
27,Учтепинский,4,76.0,4,4,47500.0,Чиланзар 11-й квартал
28,Учтепинский,2,45.0,4,5,30000.0,Чиланзар 13-й квартал
29,Чиланзарский,1,27.0,3,4,32000.0,Чиланзар 5-й квартал
30,Учтепинский,2,65.0,3,9,44000.0,Чиланзар 30-й квартал
31,Чиланзарский,2,64.0,3,4,56500.0,Чиланзар 2-й квартал
32,Чиланзарский,1,42.0,5,9,35000.0,Чиланзар 7-й квартал
33,Чиланзарский,1,26.0,2,4,23500.0,Чиланзар 7-й квартал
34,Учтепинский,4,76.0,5,5,60500.0,Чиланзар 26-й квартал
